# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=3) -> e + D2(C1Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  3  1.12561E+01    1.31390E+00   1.71000E+00  -1.28050E+01   3.13100E+01  -3.07370E+01   1.09260E+01
   1 <-  3  1.14622E+01    4.16620E-01   1.45080E-01  -1.08250E+00   2.59310E+00  -2.52640E+00   9.24480E-01
   2 <-  3  1.16598E+01    8.58030E-01   1.00640E+00  -6.66960E+00   1.57600E+01  -1.54360E+01   5.54810E+00
   3 <-  3  1.18492E+01    4.50780E-01   5.40390E-01  -3.17210E+00   7.31730E+00  -7.27140E+00   2.66260E+00
   4 <-  3  1.20304E+01    4.33790E-02  -6.38830E-03   2.84020E-02  -5.91960E-02   5.94010E-02  -2.24120E-02
   5 <-  3  1.22035E+01    4.11090E-01   6.10210E-02  -6.37340E-01   1.58800E+00  -1.44170E+00   4.58060E-01
   6 <-  3  1.23686E+01    5.23590E-01   3.03840E-01  -2.05280E+00   4.80660E+00  -4.59490E+00   1.60110E+00
   7 <-  3  1.25256E+01    4.78540E-01   3.69210E-01  -2.27940E+00   5.23500E+00  -5.07970E+00   1.82120E+00
   8 <-  3  1.26747E+01    3.58190E-01   2.62330E-01  -1.54420E+00   3.49790E+00  -3.41930E+00   1.24790E+00
   9 <-  3  1.28156E+01    2.17980E-01   1.20900E-01  -6.87110E-01   1.54060E+00  -1.52150E+00   5.67710E-01
  10 <-  3  1.29482E+01    8.85980E-02   2.90220E-02  -1.59140E-01   3.55500E-01  -3.61090E-01   1.41020E-01
  11 <-  3  1.30724E+01    7.77360E-03  -7.10570E-06  -9.23760E-05   9.47250E-04  -1.14000E-03   2.55190E-04
  12 <-  3  1.31879E+01    8.98540E-02   1.34890E-02  -7.68480E-02   1.69510E-01  -1.55400E-01   5.09460E-02
  13 <-  3  1.32943E+01    1.42880E-01   4.19180E-02  -2.32490E-01   5.09330E-01  -4.80240E-01   1.67740E-01
  14 <-  3  1.33910E+01    1.75360E-01   6.73630E-02  -3.69820E-01   8.08830E-01  -7.71010E-01   2.75450E-01
  15 <-  3  1.34775E+01    1.91810E-01   8.10870E-02  -4.43410E-01   9.68190E-01  -9.25840E-01   3.33540E-01
  16 <-  3  1.35528E+01    1.95400E-01   8.15960E-02  -4.46140E-01   9.71570E-01  -9.26520E-01   3.33510E-01
  17 <-  3  1.36159E+01    1.87060E-01   7.18800E-02  -3.93660E-01   8.55490E-01  -8.12800E-01   2.91660E-01
  18 <-  3  1.36648E+01    1.65910E-01   5.44450E-02  -2.98860E-01   6.48530E-01  -6.13940E-01   2.19490E-01
  DE <-  3  1.36903E+01    9.37150E-01   9.31610E-01  -5.94960E+00   1.27860E+01  -1.10430E+01   3.30440E+00
