# MCCC calculations of H2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2020)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the B1Su electronic state of H2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.75357           -20.50570
  1   -0.74755           -20.34180
  2   -0.74169           -20.18250
  3   -0.73600           -20.02760
  4   -0.73046           -19.87700
  5   -0.72508           -19.73040
  6   -0.71984           -19.58790
  7   -0.71475           -19.44930
  8   -0.70980           -19.31470
  9   -0.70500           -19.18400
 10   -0.70033           -19.05710
 11   -0.69581           -18.93390
 12   -0.69142           -18.81440
 13   -0.68716           -18.69850
 14   -0.68303           -18.58610
 15   -0.67903           -18.47730
 16   -0.67515           -18.37180
 17   -0.67140           -18.26970
 18   -0.66777           -18.17100
 19   -0.66426           -18.07540
 20   -0.66087           -17.98310
 21   -0.65759           -17.89390
 22   -0.65442           -17.80780
 23   -0.65137           -17.72480
 24   -0.64844           -17.64480
 25   -0.64561           -17.56800
 26   -0.64290           -17.49430
 27   -0.64031           -17.42380
 28   -0.63784           -17.35660
 29   -0.63550           -17.29300
 30   -0.63331           -17.23320
 31   -0.63127           -17.17770
 32   -0.62942           -17.12730
 33   -0.62779           -17.08320
 34   -0.62647           -17.04720
 35   -0.62556           -17.02250
 36   -0.62517           -17.01170
 37   -0.62506           -17.00870
 38   -0.62502           -17.00760
 39   -0.62500           -17.00720
