# MCCC calculations of H2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2020)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the a3Sg electronic state of H2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.73114           -19.89520
  1   -0.71963           -19.58200
  2   -0.70874           -19.28570
  3   -0.69845           -19.00590
  4   -0.68876           -18.74200
  5   -0.67964           -18.49400
  6   -0.67111           -18.26180
  7   -0.66316           -18.04540
  8   -0.65580           -17.84520
  9   -0.64906           -17.66190
 10   -0.64299           -17.49670
 11   -0.63765           -17.35120
 12   -0.63313           -17.22830
 13   -0.62959           -17.13200
 14   -0.62719           -17.06670
 15   -0.62596           -17.03330
 16   -0.62552           -17.02120
 17   -0.62529           -17.01500
 18   -0.62514           -17.01090
 19   -0.62506           -17.00870
 20   -0.62502           -17.00770
 21   -0.62501           -17.00730
