# MCCC calculations of H2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2020)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the c3Pu electronic state of H2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.73197           -19.91800
  1   -0.72130           -19.62750
  2   -0.71118           -19.35230
  3   -0.70161           -19.09190
  4   -0.69258           -18.84600
  5   -0.68406           -18.61410
  6   -0.67605           -18.39630
  7   -0.66856           -18.19240
  8   -0.66159           -18.00270
  9   -0.65513           -17.82710
 10   -0.64922           -17.66620
 11   -0.64387           -17.52060
 12   -0.63911           -17.39100
 13   -0.63498           -17.27860
 14   -0.63153           -17.18470
 15   -0.62882           -17.11100
 16   -0.62690           -17.05880
 17   -0.62577           -17.02820
 18   -0.62527           -17.01460
 19   -0.62509           -17.00950
 20   -0.62502           -17.00780
 21   -0.62500           -17.00720
