# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=8) -> e + D2(Bp1Su) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  8  1.11722E+01    2.09850E-06   1.57600E-02  -5.82530E-02   1.37790E-01  -1.68660E-01   8.42470E-02
   1 <-  8  1.13418E+01    3.48370E-05   3.24330E-01  -1.21790E+00   2.81210E+00  -3.28890E+00   1.55990E+00
   2 <-  8  1.15015E+01    2.29480E-01   7.40300E-01  -2.79290E+00   6.61970E+00  -7.79030E+00   3.71740E+00
   3 <-  8  1.16509E+01    2.80640E-02   4.11810E-02  -1.69610E-01   4.32690E-01  -5.42380E-01   2.69640E-01
   4 <-  8  1.17888E+01    2.05520E-01   2.87390E-01  -1.06070E+00   2.40610E+00  -2.68420E+00   1.22360E+00
   5 <-  8  1.19135E+01    1.09140E-01   3.07400E-02  -1.06190E-01   2.31030E-01  -2.36050E-01   9.95590E-02
   6 <-  8  1.20222E+01    2.27330E-02   2.76940E-02  -1.05270E-01   2.31170E-01  -2.54620E-01   1.14320E-01
   7 <-  8  1.21091E+01    1.03350E-01   7.51270E-02  -2.80380E-01   6.10720E-01  -6.51240E-01   2.83580E-01
   8 <-  8  1.21592E+01    6.99350E-02   2.55790E-02  -9.55250E-02   2.08820E-01  -2.21100E-01   9.55150E-02
   9 <-  8  1.21698E+01    5.27060E-02   1.37510E-02  -5.13850E-02   1.12490E-01  -1.18990E-01   5.13370E-02
  10 <-  8  1.21791E+01    4.44200E-02   9.31460E-03  -3.48340E-02   7.63660E-02  -8.07230E-02   3.47950E-02
  11 <-  8  1.21858E+01    3.69600E-02   6.23560E-03  -2.33340E-02   5.12150E-02  -5.41160E-02   2.33120E-02
  12 <-  8  1.21904E+01    3.08460E-02   4.24520E-03  -1.58940E-02   3.49160E-02  -3.68870E-02   1.58840E-02
  13 <-  8  1.21934E+01    2.17410E-02   2.07790E-03  -7.78190E-03   1.71060E-02  -1.80690E-02   7.77950E-03
  DE <-  8  1.21938E+01    6.12890E-01   4.42730E-01  -2.37820E+00   4.95600E+00  -4.19780E+00   1.23020E+00
