# MCCC calculations of D2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the g3Sg electronic state of D2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.65581           -17.84540
  1   -0.64808           -17.63530
  2   -0.64079           -17.43690
  3   -0.63384           -17.24760
  4   -0.62718           -17.06650
  5   -0.62082           -16.89330
  6   -0.61474           -16.72780
  7   -0.60893           -16.56990
  8   -0.60340           -16.41940
  9   -0.59814           -16.27630
 10   -0.59316           -16.14060
 11   -0.58844           -16.01240
 12   -0.58401           -15.89160
 13   -0.57986           -15.77870
 14   -0.57600           -15.67380
 15   -0.57246           -15.57750
 16   -0.56927           -15.49050
 17   -0.56645           -15.41380
 18   -0.56405           -15.34850
 19   -0.56206           -15.29450
 20   -0.56042           -15.24970
 21   -0.55903           -15.21200
 22   -0.55788           -15.18060
 23   -0.55695           -15.15540
 24   -0.55626           -15.13650
 25   -0.55582           -15.12450
 26   -0.55561           -15.11900
 27   -0.55556           -15.11770
 28   -0.55556           -15.11750
