# MCCC calculations of D2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the c3Pu electronic state of D2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.73359           -19.96210
  1   -0.72592           -19.75340
  2   -0.71854           -19.55250
  3   -0.71143           -19.35910
  4   -0.70460           -19.17310
  5   -0.69804           -18.99450
  6   -0.69173           -18.82300
  7   -0.68569           -18.65850
  8   -0.67990           -18.50110
  9   -0.67438           -18.35080
 10   -0.66911           -18.20750
 11   -0.66410           -18.07100
 12   -0.65933           -17.94130
 13   -0.65483           -17.81890
 14   -0.65061           -17.70390
 15   -0.64666           -17.59660
 16   -0.64301           -17.49710
 17   -0.63965           -17.40580
 18   -0.63661           -17.32300
 19   -0.63389           -17.24910
 20   -0.63153           -17.18480
 21   -0.62953           -17.13050
 22   -0.62793           -17.08680
 23   -0.62673           -17.05410
 24   -0.62592           -17.03210
 25   -0.62545           -17.01940
 26   -0.62521           -17.01290
 27   -0.62510           -17.00970
 28   -0.62504           -17.00820
 29   -0.62501           -17.00750
 30   -0.62500           -17.00720
