# MCCC calculations of D2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the J1Dg electronic state of D2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.65383           -17.79160
  1   -0.64656           -17.59390
  2   -0.63954           -17.40270
  3   -0.63286           -17.22110
  4   -0.62654           -17.04890
  5   -0.62045           -16.88320
  6   -0.61459           -16.72380
  7   -0.60898           -16.57130
  8   -0.60364           -16.42600
  9   -0.59859           -16.28850
 10   -0.59378           -16.15760
 11   -0.58922           -16.03360
 12   -0.58493           -15.91680
 13   -0.58089           -15.80690
 14   -0.57711           -15.70410
 15   -0.57360           -15.60850
 16   -0.57036           -15.52030
 17   -0.56739           -15.43960
 18   -0.56472           -15.36680
 19   -0.56234           -15.30220
 20   -0.56029           -15.24620
 21   -0.55857           -15.19960
 22   -0.55722           -15.16280
 23   -0.55627           -15.13680
 24   -0.55573           -15.12220
 25   -0.55558           -15.11800
 26   -0.55556           -15.11750
