# MCCC calculations of D2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the a3Sg electronic state of D2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.73289           -19.94280
  1   -0.72461           -19.71770
  2   -0.71666           -19.50120
  3   -0.70901           -19.29310
  4   -0.70166           -19.09310
  5   -0.69461           -18.90130
  6   -0.68785           -18.71740
  7   -0.68139           -18.54140
  8   -0.67521           -18.37340
  9   -0.66932           -18.21310
 10   -0.66373           -18.06090
 11   -0.65843           -17.91670
 12   -0.65343           -17.78090
 13   -0.64876           -17.65360
 14   -0.64441           -17.53530
 15   -0.64042           -17.42680
 16   -0.63682           -17.32860
 17   -0.63363           -17.24200
 18   -0.63093           -17.16840
 19   -0.62876           -17.10950
 20   -0.62719           -17.06680
 21   -0.62622           -17.04030
 22   -0.62572           -17.02680
 23   -0.62549           -17.02040
 24   -0.62532           -17.01590
 25   -0.62520           -17.01250
 26   -0.62511           -17.01020
 27   -0.62506           -17.00870
 28   -0.62503           -17.00790
 29   -0.62501           -17.00750
 30   -0.62500           -17.00720
