# MCCC calculations of D2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the j3Dg electronic state of D2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.65386           -17.79240
  1   -0.64663           -17.59560
  2   -0.63958           -17.40390
  3   -0.63292           -17.22260
  4   -0.62659           -17.05040
  5   -0.62050           -16.88470
  6   -0.61465           -16.72540
  7   -0.60904           -16.57280
  8   -0.60370           -16.42750
  9   -0.59865           -16.29000
 10   -0.59384           -16.15910
 11   -0.58928           -16.03510
 12   -0.58499           -15.91830
 13   -0.58095           -15.80840
 14   -0.57717           -15.70550
 15   -0.57365           -15.60990
 16   -0.57041           -15.52170
 17   -0.56744           -15.44090
 18   -0.56477           -15.36810
 19   -0.56239           -15.30340
 20   -0.56033           -15.24740
 21   -0.55861           -15.20060
 22   -0.55725           -15.16360
 23   -0.55629           -15.13740
 24   -0.55574           -15.12250
 25   -0.55558           -15.11810
 26   -0.55556           -15.11750
