# MCCC calculations of D2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the d3Pu electronic state of D2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.65692           -17.87580
  1   -0.64956           -17.67540
  2   -0.64248           -17.48270
  3   -0.63570           -17.29810
  4   -0.62920           -17.12140
  5   -0.62299           -16.95230
  6   -0.61703           -16.79030
  7   -0.61133           -16.63520
  8   -0.60588           -16.48690
  9   -0.60069           -16.34560
 10   -0.59576           -16.21130
 11   -0.59108           -16.08420
 12   -0.58667           -15.96410
 13   -0.58251           -15.85090
 14   -0.57862           -15.74490
 15   -0.57499           -15.64620
 16   -0.57163           -15.55490
 17   -0.56856           -15.47120
 18   -0.56578           -15.39570
 19   -0.56332           -15.32870
 20   -0.56120           -15.27110
 21   -0.55947           -15.22410
 22   -0.55820           -15.18940
 23   -0.55735           -15.16620
 24   -0.55672           -15.14920
 25   -0.55625           -15.13650
 26   -0.55592           -15.12730
 27   -0.55570           -15.12140
 28   -0.55559           -15.11830
 29   -0.55556           -15.11750
