# MCCC calculations of D2 vibrational energy levels
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: vibrational level energies for the D1Pu electronic state of D2
# v    Energy (Hartrees)  Energy (eV)
  0   -0.65157           -17.73000
  1   -0.64426           -17.53130
  2   -0.63726           -17.34080
  3   -0.63055           -17.15820
  4   -0.62413           -16.98340
  5   -0.61799           -16.81630
  6   -0.61213           -16.65680
  7   -0.60654           -16.50470
  8   -0.60122           -16.36010
  9   -0.59618           -16.22280
 10   -0.59140           -16.09280
 11   -0.58690           -15.97020
 12   -0.58266           -15.85510
 13   -0.57871           -15.74750
 14   -0.57504           -15.64750
 15   -0.57165           -15.55540
 16   -0.56856           -15.47130
 17   -0.56577           -15.39540
 18   -0.56330           -15.32810
 19   -0.56115           -15.26960
 20   -0.55934           -15.22030
 21   -0.55788           -15.18060
 22   -0.55678           -15.15070
 23   -0.55606           -15.13120
 24   -0.55571           -15.12170
 25   -0.55560           -15.11850
 26   -0.55556           -15.11750
